,Unnamed: 0,HF,NB,TI,V,Eig_1,Eig_2,Eig_3,Negative Eigenvalues,proj0,proj1
1019,1019,0.2,0.05,0.15,0.6,-75869.88898247537,43817.195673218375,95981.73010999862,1,-0.42473038834358856,0.35299305548056387
915,915,0.15,0.1,0.2,0.55,-75360.8413915085,33036.60818950285,44533.255917153154,1,-0.28330915531197054,0.3531797311800577
842,842,0.1,0.35,0.05,0.5,-75283.96378700974,6626.827833174852,126268.29198269887,1,-0.14151457088136493,0.0705239408163153
952,952,0.15,0.25,0.1,0.5,-74908.83235472001,5930.36155120512,63084.96050724759,1,-0.21231852524692083,0.14114121948237746
1045,1045,0.2,0.15,0.1,0.55,-74613.12588459742,16313.70932996296,62296.76080528061,1,-0.3538330961282858,0.21166516029869276
795,795,0.1,0.15,0.2,0.55,-74581.00556571069,20310.104033173855,48420.89976828918,1,-0.2125985387961615,0.3532730690298046
656,656,0.05,0.2,0.05,0.7,-73709.65473658746,25930.028185890453,147264.12527242998,1,-0.3540197718277795,0.3530863933303108
972,972,0.15,0.35,0.05,0.45,-72993.01983574577,1877.1269292095462,119294.33824769985,1,-0.14142123303161805,-0.0001866756994937579
832,832,0.1,0.3,0.1,0.5,-72929.1754004187,6711.882439227304,68508.29221139838,1,-0.14160790873111181,0.14123455733212437
1135,1135,0.25,0.1,0.05,0.6,-72866.62469085181,31279.470765547285,122248.81219819146,1,-0.4952543291599038,0.2114784845991989
781,781,0.1,0.1,0.25,0.55,-72856.10273746014,37239.51315480517,47159.36194896447,1,-0.21269187664590838,0.4239836855456136
941,941,0.15,0.2,0.15,0.5,-72703.05502785859,9347.94613132714,46339.03197773182,1,-0.2124118630966677,0.21185183599818647
901,901,0.15,0.05,0.25,0.55,-72544.58770459435,38173.84521664099,95191.9662032585,1,-0.2834024931617174,0.4238903476958667
1067,1067,0.2,0.25,0.05,0.5,-72469.65069309437,4581.089198980667,117908.7290621318,1,-0.282935803912983,0.07033726511682148
642,642,0.05,0.15,0.1,0.7,-72321.03528292276,30437.44987687479,92376.71112092411,1,-0.3541131096775264,0.4237970098461198
480,480,0.15,0.45,0.0,0.4,-71993.13961603792,-125.27760264794051,62358704502439.336,2,-0.07052394081631527,-0.1415145708813649
1033,1033,0.2,0.1,0.15,0.55,-71951.21823636713,30870.614947812322,47790.695269659765,1,-0.3539264339780327,0.28237577681450177
627,627,0.05,0.1,0.15,0.7,-71183.3818545845,46137.53620434127,78224.97592899276,1,-0.35420644752727326,0.4945076263619288
766,766,0.1,0.05,0.3,0.55,-70902.47604856156,46011.04178581493,97189.85833035456,1,-0.21278521449565527,0.4946943020614226
821,821,0.1,0.25,0.15,0.5,-70886.89780199087,8030.797753784324,52298.98080475463,1,-0.1417012465808587,0.21194517384793335
852,852,0.1,0.4,0.05,0.45,-70820.25938091471,4787.520528866414,124293.45267992599,1,-0.07071061651580902,-9.333784974684727e-05
929,929,0.15,0.15,0.2,0.5,-70650.47642777735,16647.252171747048,40126.708285694986,1,-0.2125052009464146,0.28256245251399553
963,963,0.15,0.3,0.1,0.45,-70547.00274514756,2463.5993376147962,60950.60635873147,1,-0.14151457088136493,0.07052394081631531
1057,1057,0.2,0.2,0.1,0.5,-70206.91423365539,7850.024384047614,59617.165095109434,1,-0.28302914176272986,0.14104788163263055
611,611,0.05,0.05,0.2,0.7,-70184.06264859995,72697.3797806899,105029.19528510913,1,-0.35429978537702017,0.5652182428777378
464,464,0.1,0.5,0.0,0.4,-70115.57161386608,3946.168718321118,62358760405244.445,1,0.0001866756994937389,-0.141421233031618
981,981,0.15,0.4,0.05,0.4,-69594.8992890319,-247.00416033266401,117384.93622905228,2,-0.07061727866606216,-0.07080395436555591
1123,1123,0.25,0.05,0.1,0.6,-69476.32942245499,52975.84442169461,99448.07778621225,1,-0.4953476670096507,0.28218910111500795
809,809,0.1,0.2,0.2,0.5,-69166.89049478281,11530.455006456543,46414.70032234983,1,-0.14179458443060555,0.2826557903637424
1147,1147,0.25,0.15,0.05,0.55,-68896.93273706466,14877.386709468798,117990.10416130043,1,-0.42445037479434794,0.14086120593313683
1077,1077,0.2,0.3,0.05,0.45,-68727.2706897934,1042.576168527437,115782.90753510267,1,-0.2121318495474271,-0.00028001354924061297
1020,1020,0.2,0.05,0.2,0.55,-68685.75990612191,35837.373757783804,93948.60343095884,1,-0.35401977182777955,0.3530863933303108
916,916,0.15,0.1,0.25,0.5,-68594.02692930953,31217.87027351817,40901.329204899055,1,-0.21259853879616147,0.3532730690298045
843,843,0.1,0.35,0.1,0.45,-68327.44898631329,4410.246040569315,66477.38144133022,1,-0.07080395436555591,0.07061727866606222
953,953,0.15,0.25,0.15,0.45,-68301.22870185925,4164.914125095569,44164.313423346866,1,-0.14160790873111181,0.1412345573321243
1046,1046,0.2,0.15,0.15,0.5,-67866.54715313156,14871.786135921615,42936.64651103322,1,-0.2831224796124767,0.21175849814843958
495,495,0.2,0.4,0.0,0.4,-67806.01959864298,-1876.6926493596839,62358752711879.55,2,-0.14123455733212428,-0.14160790873111176
796,796,0.1,0.15,0.25,0.5,-67699.3370939953,19148.870038141285,44690.368538342074,1,-0.14188792228035244,0.35336640687955145
861,861,0.1,0.45,0.05,0.4,-67285.70499954055,3315.628405177294,122410.96885890349,1,9.33378497468838e-05,-0.070710616515809
989,989,0.15,0.45,0.05,0.35,-67034.1213718485,-1980.102466894501,115600.93790896854,2,0.00018667569949379256,-0.1414212330316181
973,973,0.15,0.35,0.1,0.4,-66987.09355920352,-108.58823542363274,58947.09363101181,2,-0.07071061651580904,-9.333784974683943e-05
1068,1068,0.2,0.25,0.1,0.45,-66403.76563236816,2687.7311203978447,57337.71772118703,1,-0.21222518739717394,0.0704306029665684
670,670,0.05,0.25,0.05,0.65,-66378.08689439295,22123.734203740823,145242.73400567324,1,-0.28321581746222363,0.2824691146642487
942,942,0.15,0.2,0.2,0.45,-66339.34935681218,7874.011910410907,37837.63475933109,1,-0.14170124658085867,0.21194517384793338
782,782,0.1,0.1,0.3,0.5,-66332.79060795996,36278.731292186705,45739.10001770991,1,-0.14198126013009932,0.4240770233953604
1136,1136,0.25,0.1,0.1,0.55,-66323.079459222,29547.87881590697,61821.18080751846,1,-0.42454371264409485,0.21157182244894585
833,833,0.1,0.3,0.15,0.45,-66191.24715841237,4759.415228357645,50318.09373574811,1,-0.07089729221530279,0.14132789518187122
902,902,0.15,0.05,0.3,0.5,-66171.73324741372,36044.66832230928,94416.80356448123,1,-0.21269187664590836,0.42398368554561355
1086,1086,0.2,0.35,0.05,0.4,-65800.56948007725,-1625.404415837872,113825.72799317009,2,-0.1413278951818712,-0.07089729221530276
517,517,0.3,0.05,0.0,0.65,-65765.63398135715,80955.43427340187,62358749674860.53,1,-0.6366755621915219,0.2112918088997052
1034,1034,0.2,0.1,0.2,0.5,-65413.18648290637,28410.869693985213,40123.81510284223,1,-0.2832158174622236,0.2824691146642486
1158,1158,0.25,0.2,0.05,0.5,-65196.45860215885,6559.018649631707,115188.26127945355,1,-0.353646420428792,0.07024392726707462
996,996,0.15,0.5,0.05,0.3,-65195.595650904026,-3361.3193294875055,113965.3863354262,2,0.07099063006504967,-0.21203851169768018
484,484,0.15,0.65,0.0,0.2,-65043.647275851166,-5107.312158890891,62358648404951.195,2,0.2126918766459084,-0.4239836855456135
657,657,0.05,0.2,0.1,0.65,-65004.992518455416,22479.87933438933,90726.85900965813,1,-0.2833091553119705,0.3531797311800577
767,767,0.1,0.05,0.35,0.5,-64790.90708278664,45891.03921427017,96602.08607518511,1,-0.1420745979798462,0.4947876399111695
869,869,0.1,0.5,0.05,0.35,-64644.280913250965,2167.957298344377,120628.01495372357,1,0.0708972922153028,-0.1413278951818712
964,964,0.15,0.3,0.15,0.4,-64619.130863713486,666.8038870129022,42138.73651201431,1,-0.07080395436555592,0.07061727866606217
853,853,0.1,0.4,0.1,0.4,-64618.74721010025,2691.4444021518093,64534.73654381902,1,2.8687284910776454e-17,7.119133697354444e-17
930,930,0.15,0.15,0.25,0.45,-64602.126640348375,15399.357042550822,35945.61794810595,1,-0.14179458443060555,0.2826557903637424
822,822,0.1,0.25,0.2,0.45,-64447.531226529165,6408.194632876818,44544.34499472638,1,-0.07099063006504965,0.21203851169768026
982,982,0.15,0.4,0.1,0.35,-64228.85261865316,-2081.0265649179646,57072.04911397421,2,9.333784974690968e-05,-0.07071061651580902
1058,1058,0.2,0.2,0.15,0.45,-64137.32995616244,6251.968960520466,40393.39197123005,1,-0.21231852524692083,0.1411412194823774
643,643,0.05,0.15,0.15,0.65,-63958.81101856558,27946.99819960507,76868.42572626559,1,-0.2834024931617174,0.4238903476958667
518,518,0.3,0.1,0.0,0.6,-63846.356360186895,29809.260474017727,62358749721697.91,1,-0.565871607825966,0.14067453023364299
1002,1002,0.15,0.55,0.05,0.25,-63770.315476618445,-4406.302091677162,112535.85889207777,2,0.1417945844306056,-0.2826557903637424
1094,1094,0.2,0.4,0.05,0.35,-63706.163682830746,-3687.2112534224398,112021.21932595337,2,-0.07052394081631522,-0.14151457088136496
1078,1078,0.2,0.3,0.1,0.4,-63335.54988895549,-835.4080245732849,55268.38400977941,2,-0.14142123303161805,-0.00018667569949369455
628,628,0.05,0.1,0.2,0.65,-63174.112724707586,44301.64701176187,72881.9482731454,1,-0.28349583101146425,0.49460096421167576
810,810,0.1,0.2,0.25,0.45,-63063.28036159235,10211.21298792823,42923.44994110763,1,-0.07108396791479653,0.2827491282134893
1148,1148,0.25,0.15,0.1,0.5,-62927.046619414046,13336.227140133575,57185.92535467588,1,-0.3537397582785389,0.1409545437828837
917,917,0.15,0.1,0.3,0.45,-62908.142808586985,29766.79829817262,39438.24646907572,1,-0.14188792228035244,0.3533664068795514
468,468,0.1,0.7,0.0,0.2,-62892.617128291844,657.7190945954935,62358730753261.5,1,0.28340249316171734,-0.42389034769586664
1124,1124,0.25,0.05,0.15,0.55,-62878.77810266681,38152.98765187857,93703.94521639484,1,-0.4246370504938417,0.28228243896475486
876,876,0.1,0.55,0.05,0.3,-62749.519160377684,1327.789912095859,118967.81270157713,1,0.14170124658085873,-0.21194517384793332
954,954,0.15,0.25,0.2,0.4,-62615.300889483995,2603.66310128682,35825.708306527464,1,-0.07089729221530278,0.14132789518187122
612,612,0.05,0.05,0.25,0.65,-62544.14865988954,70437.9418631128,104710.06158113806,1,-0.28358916886121116,0.5653115807274848
1021,1021,0.2,0.05,0.25,0.5,-62504.954646612896,31452.32651810454,92795.24183228026,1,-0.2833091553119705,0.35317973118005763
1101,1101,0.2,0.45,0.05,0.3,-62351.73261744308,-5251.591286556352,110385.80779523183,2,0.000280013549240662,-0.2121318495474271
844,844,0.1,0.35,0.15,0.4,-62333.90769495814,2464.5373359674186,48422.50885144124,1,-9.333784974688193e-05,0.07071061651580908
990,990,0.15,0.45,0.1,0.3,-62169.55461966524,-3578.6375266892987,55347.669379903746,2,0.07089729221530282,-0.14132789518187117
1168,1168,0.25,0.25,0.05,0.45,-62087.0986260273,1442.4650955584066,112874.19501944381,1,-0.2828424660632361,-0.0003733513989875236
1007,1007,0.15,0.6,0.05,0.2,-62056.09233670651,-5124.217906698197,111447.18486790058,2,0.2125985387961615,-0.3532730690298045
1047,1047,0.2,0.15,0.2,0.45,-62012.53111282199,13515.209096113766,34153.82832965366,1,-0.2124118630966677,0.2118518359981865
797,797,0.1,0.15,0.3,0.45,-61950.575606645376,18072.253837295382,43463.70607414934,1,-0.07117730576454344,0.3534597447292983
862,862,0.1,0.45,0.1,0.35,-61773.69359120557,1421.8834423844532,62685.59297684687,1,0.07080395436555595,-0.07061727866606211
1213,1213,0.3,0.05,0.05,0.6,-61682.13474411369,70733.96935336111,135849.88307869987,1,-0.5659649456757129,0.21138514674945202
974,974,0.15,0.35,0.15,0.35,-61676.74945333615,-1845.96048129848,40239.49901051436,2,2.6823866320481373e-17,-1.5680185742286613e-17
1107,1107,0.2,0.5,0.05,0.25,-61445.739555355,-6370.136735902166,108976.4953215128,2,0.07108396791479657,-0.28274912821348924
882,882,0.1,0.6,0.05,0.25,-61247.15433467249,770.3484355768614,117483.30551356406,1,0.21250520094641462,-0.2825624525139955
1087,1087,0.2,0.35,0.1,0.35,-61047.68735271887,-3374.897657049071,53367.72284468131,2,-0.07061727866606213,-0.07080395436555588
1069,1069,0.2,0.25,0.15,0.4,-60997.88647670498,1023.4927028780003,38241.530154353895,1,-0.14151457088136493,0.07052394081631526
943,943,0.15,0.2,0.25,0.4,-60971.35917233044,6537.007734279663,33823.71051287,1,-0.07099063006504966,0.21203851169768026
783,783,0.1,0.1,0.35,0.45,-60956.400345459195,35418.49116207562,45929.95851049591,1,-0.0712706436142903,0.4241703612451073
903,903,0.15,0.05,0.35,0.45,-60923.458485093564,35467.89400295722,93778.55833435035,1,-0.14198126013009932,0.4240770233953604
997,997,0.15,0.5,0.1,0.25,-60512.63928898012,-4660.704951490019,53833.6244147865,2,0.1417012465808587,-0.21194517384793327
834,834,0.1,0.3,0.2,0.4,-60488.90962921681,3068.2103254005833,42766.78619731728,1,-0.00018667569949373705,0.14142123303161813
1112,1112,0.2,0.55,0.05,0.2,-60307.163763684075,-7068.245370099119,107934.01527193349,2,0.14188792228035255,-0.35336640687955145
1137,1137,0.25,0.1,0.15,0.5,-60279.19663602843,27167.130819191596,43428.83381174106,1,-0.3538330961282858,0.21166516029869267
683,683,0.05,0.3,0.05,0.6,-60128.14764095264,20174.73017605217,143327.78896054105,1,-0.2124118630966677,0.21185183599818647
510,510,0.25,0.4,0.0,0.35,-60120.21902138268,-4882.805034580568,62358753806883.42,2,-0.14114121948237737,-0.21231852524692088
1035,1035,0.2,0.1,0.25,0.45,-59885.633809545114,26028.43750129843,36924.30552955068,1,-0.2125052009464146,0.2825624525139955
1159,1159,0.25,0.2,0.1,0.45,-59866.08151495639,4853.604517317305,54491.060552989424,1,-0.28293580391298295,0.07033726511682155
768,768,0.1,0.05,0.4,0.45,-59832.479538436586,46992.358617654034,96065.4539132887,1,-0.07136398146403715,0.4948809777609164
1177,1177,0.25,0.3,0.05,0.4,-59743.61134279688,-2057.1226370597087,110823.37055420324,2,-0.2120385116976802,-0.07099063006504967
500,500,0.2,0.65,0.0,0.15,-59687.42256386833,-7313.828216232847,62358749135097.8,2,0.2127852144956553,-0.4946943020614225
870,870,0.1,0.5,0.1,0.3,-59652.259585256164,540.7910902061499,60949.676410061365,1,0.14160790873111181,-0.14123455733212426
931,931,0.15,0.15,0.3,0.4,-59591.691006557085,14235.853225941051,34268.112981684,1,-0.07108396791479657,0.2827491282134893
965,965,0.15,0.3,0.2,0.35,-59535.913603176254,-904.8768046322964,33959.4422715771,2,-9.333784974685604e-05,0.07071061651580902
1095,1095,0.2,0.4,0.1,0.3,-59471.116322853515,-5208.767221560919,51646.73768469451,2,0.0001866756994938069,-0.14142123303161802
1225,1225,0.3,0.1,0.05,0.55,-59456.67906437878,28256.80906461819,117517.30726401552,1,-0.49516099131015695,0.14076786808338992
983,983,0.15,0.4,0.15,0.3,-59385.03143081,-3673.469966262824,38479.67457972304,2,0.07080395436555591,-0.07061727866606217
887,887,0.1,0.65,0.05,0.2,-59365.3430120447,448.9049754894295,116296.6096270807,1,0.28330915531197054,-0.35317973118005763
854,854,0.1,0.4,0.15,0.35,-59292.64082598109,826.772593983997,46612.432620245505,1,0.07071061651580904,9.333784974689494e-05
823,823,0.1,0.25,0.25,0.4,-59075.27444517323,4982.793795104476,41288.304225927066,1,-0.00028001354924064766,0.21213184954742714
513,513,0.25,0.55,0.0,0.2,-59070.75251606439,-7892.765375456394,62358945117243.516,2,0.07127064361429035,-0.4241703612451073
1059,1059,0.2,0.2,0.2,0.4,-58946.37093668719,4822.718133724309,31744.00203815316,1,-0.1416079087311118,0.1412345573321243
671,671,0.05,0.25,0.1,0.6,-58715.38536754693,18412.21813975852,89174.26575318938,1,-0.2125052009464146,0.28256245251399553
1003,1003,0.15,0.55,0.1,0.2,-58571.489484741454,-5364.234104536655,52676.658673126585,2,0.21250520094641465,-0.2825624525139955
1079,1079,0.2,0.3,0.15,0.35,-58542.704438717796,-2459.734619538639,36291.48898133005,2,-0.07071061651580901,-9.333784974687079e-05
1011,1011,0.15,0.65,0.05,0.15,-58422.026112272375,-5471.705573094729,111060.12042547653,2,0.28340249316171745,-0.42389034769586664
1102,1102,0.2,0.45,0.1,0.25,-58336.55330853268,-6468.478483796301,50165.57108959784,2,0.07099063006504969,-0.21203851169768018
918,918,0.15,0.1,0.35,0.4,-58286.31915800086,28889.20202598947,39124.97174459837,1,-0.07117730576454342,0.35345974472929825
1185,1185,0.25,0.35,0.05,0.35,-58238.49467628284,-4544.470358693394,108970.64554659481,2,-0.14123455733212428,-0.14160790873111187
811,811,0.1,0.2,0.3,0.4,-58038.26905129607,9014.949830997073,41937.88205127844,1,-0.00037335139898750277,0.28284246606323615
877,877,0.1,0.55,0.1,0.25,-57905.13454689086,0.9348359876755694,59375.84539337421,1,0.21241186309666776,-0.2118518359981864
955,955,0.15,0.25,0.25,0.35,-57841.19500884335,1222.5224605440076,31995.97548523466,1,-0.0001866756994937389,0.14142123303161805
658,658,0.05,0.2,0.15,0.6,-57684.073571742716,19750.19387701885,75664.5828188828,1,-0.21259853879616147,0.35327306902980454
1149,1149,0.25,0.15,0.15,0.45,-57525.67705693947,11908.993965901727,37785.791283749866,1,-0.28302914176272986,0.14104788163263055
1192,1192,0.25,0.4,0.05,0.3,-57510.63494996587,-6276.5509842800075,107313.91494928283,2,-0.07043060296656835,-0.212225187397174
991,991,0.15,0.45,0.15,0.25,-57457.245090232944,-4956.904596867075,36911.67582841192,2,0.14160790873111184,-0.1412345573321243
1169,1169,0.25,0.25,0.1,0.4,-57424.24274426702,-292.22422522475165,52271.48812810084,2,-0.2121318495474271,-0.00028001354924060516
1022,1022,0.2,0.05,0.3,0.45,-57417.60272780887,29294.121762299936,91964.0706662243,1,-0.21259853879616147,0.3532730690298045
1116,1116,0.2,0.6,0.05,0.15,-57364.92268966801,-7282.9485746525515,107639.95284274843,2,0.21269187664590838,-0.4239836855456135
845,845,0.1,0.35,0.2,0.35,-57279.73377001103,766.0080441657706,41072.85995959101,1,0.07061727866606218,0.07080395436555594
798,798,0.1,0.15,0.35,0.4,-57279.30105318226,17064.619476339365,43904.77194835461,1,-0.0004666892487344134,0.35355308257904516
1198,1198,0.25,0.45,0.05,0.25,-57276.78978839095,-7389.184339007841,105903.72049778093,2,0.00037335139898753145,-0.28284246606323615
1048,1048,0.2,0.15,0.25,0.4,-57145.65797920547,12259.443753638636,29886.028887604672,1,-0.1417012465808587,0.21194517384793338
1125,1125,0.25,0.05,0.2,0.5,-57087.0547734906,30178.32891577305,91624.53354297827,1,-0.35392643397803264,0.2823757768145017
975,975,0.15,0.35,0.2,0.3,-57031.69714712637,-3351.1289246451324,32225.483488401303,2,0.07071061651580905,9.333784974687503e-05
1108,1108,0.2,0.5,0.1,0.2,-56989.59673581209,-7224.7394896549595,49082.89560304392,2,0.14179458443060564,-0.28265579036374233
644,644,0.05,0.15,0.2,0.6,-56984.83254867678,26092.774932735818,71744.4929107675,1,-0.21269187664590833,0.42398368554561355
863,863,0.1,0.45,0.15,0.3,-56933.09770115416,-300.6819607210203,44900.31915489658,2,0.14151457088136496,-0.07052394081631526
1203,1203,0.25,0.5,0.05,0.2,-56850.16578542423,-7969.0229548195,104882.28738928757,2,0.07117730576454344,-0.3534597447292983
1236,1236,0.3,0.15,0.05,0.5,-56844.21512354995,11848.15074165074,113179.95955570754,1,-0.42435703694460103,0.07015058941732771
904,904,0.15,0.05,0.4,0.4,-56752.45879223589,36105.969965969845,93216.54149283333,1,-0.07127064361429028,0.4241703612451073
1088,1088,0.2,0.35,0.15,0.3,-56733.44509462704,-4858.403837379702,34522.236606656814,2,9.333784974689628e-05,-0.07071061651580902
784,784,0.1,0.1,0.4,0.4,-56647.77897550712,34666.161433043555,47294.47909692581,1,-0.0005600270984812684,0.42426369909485423
629,629,0.05,0.1,0.25,0.6,-56548.05671146512,42984.08969955254,71800.26204865845,1,-0.2127852144956552,0.49469430206142256
944,944,0.15,0.2,0.3,0.35,-56546.70238223188,5333.734954452068,32317.924008664617,1,-0.000280013549240594,0.2121318495474271
1070,1070,0.2,0.25,0.2,0.35,-56404.749471701565,-423.97727269022363,29754.35204383306,2,-0.07080395436555587,0.07061727866606211
1214,1214,0.3,0.05,0.1,0.55,-56276.86291595582,47880.34784284961,97008.80123904507,1,-0.49525432915990386,0.21147848459919896
613,613,0.05,0.05,0.3,0.6,-56274.28614141188,70767.458353051,104489.86013763316,1,-0.2128785523454021,0.5654049185772316
769,769,0.1,0.05,0.45,0.4,-55921.75604116637,49075.97183362292,95560.58023064958,1,-0.0006533649482281235,0.49497431561066324
883,883,0.1,0.6,0.1,0.2,-55763.57023023568,-260.0306789703777,58085.54769709577,2,0.28321581746222363,-0.28246911466424857
835,835,0.1,0.3,0.25,0.35,-55747.503133801234,1587.8350207989488,39742.7408345864,1,0.07052394081631527,0.14151457088136496
1178,1178,0.25,0.3,0.1,0.35,-55733.75489010405,-3679.5460975825367,50307.56788718816,2,-0.14132789518187117,-0.07089729221530279
932,932,0.15,0.15,0.35,0.35,-55534.92781179196,13194.524507336566,34229.80181497248,1,-0.0003733513989875046,0.2828424660632361
